experience,skills,education,label,experience_years,skills_encoded,education_encoded,matched_for_job
10 years,"expect,red,decade,those",PhD,Senior,10,4,5,Senior
10 years,"civil,street,subject",Master,Senior,10,3,4,Senior
4 years,"name,possible,range,white,standard,last",Bachelor,Senior,4,6,3,Senior
3 years,"peace,manage,member,lot",PhD,Senior,3,4,5,Senior
8 years,"magazine,standard,lay,live,model,sport",Bachelor,Senior,8,6,3,Senior
6 years,"class,discover,seek,camera,writer",PhD,Senior,6,5,5,Senior
5 years,"figure,system,dream,can,move",Master,Senior,5,5,4,Senior
1 years,"summer,mention,series,list,himself",Master,Junior,1,5,4,Junior
6 years,"military,issue,around,address",PhD,Senior,6,4,5,Senior
5 years,"chance,must,maintain,suddenly,type",Bachelor,Senior,5,5,3,Senior
8 years,"respond,south,gas,case",Bachelor,Senior,8,4,3,Senior
3 years,"nearly,herself,former,it,two",PhD,Senior,3,5,5,Senior
3 years,"everything,beat,administration,cold,local,body",Bachelor,Senior,3,6,3,Senior
7 years,"wide,finally,authority,most",Bachelor,Senior,7,4,3,Senior
8 years,"fast,drive,foot",PhD,Senior,8,3,5,Senior
4 years,"sport,nation,system",PhD,Senior,4,3,5,Senior
6 years,"take,follow,industry",PhD,Senior,6,3,5,Senior
5 years,"vote,someone,for",PhD,Senior,5,3,5,Senior
7 years,"firm,should,drop",Master,Senior,7,3,4,Senior
9 years,"window,hope,might,indeed,test,bank,movie",PhD,Senior,9,7,5,Senior
6 years,"everybody,outside,take,end",PhD,Senior,6,4,5,Senior
4 years,"enter,example,for",Master,Senior,4,3,4,Senior
7 years,"nothing,either,performance,financial,later,fall,executive",Master,Senior,7,7,4,Senior
7 years,"medical,end,Republican",PhD,Senior,7,3,5,Senior
2 years,"current,recognize,their",Bachelor,Junior,2,3,3,Junior
1 years,"continue,environmental,include,land,wear",Bachelor,Junior,1,5,3,Junior
7 years,"say,college,win",PhD,Senior,7,3,5,Senior
1 years,"ground,language,miss",Master,Junior,1,3,4,Junior
9 years,"alone,finish,over,stop",Master,Senior,9,4,4,Senior
6 years,"see,somebody,seem,wind,wife,when,scientist",PhD,Senior,6,7,5,Senior
5 years,"agreement,see,market,analysis,forget,foot",Bachelor,Senior,5,6,3,Senior
6 years,"risk,PM,indicate,memory",Bachelor,Senior,6,4,3,Senior
8 years,"statement,process,science,new,return,bed",PhD,Senior,8,6,5,Senior
10 years,"personal,network,role,individual,suggest",Bachelor,Senior,10,5,3,Senior
9 years,"work,goal,draw,head,admit,discussion,paper",Master,Senior,9,7,4,Senior
5 years,"hear,lawyer,magazine,peace",Bachelor,Senior,5,4,3,Senior
4 years,"system,contain,offer,agree,argue",PhD,Senior,4,5,5,Senior
4 years,"garden,environment,poor,option",Bachelor,Senior,4,4,3,Senior
1 years,"ten,if,first",PhD,Junior,1,3,5,Junior
3 years,"world,often,instead,bar",PhD,Senior,3,4,5,Senior
10 years,"day,talk,read",Bachelor,Senior,10,3,3,Senior
6 years,"matter,sit,dinner,experience",PhD,Senior,6,4,5,Senior
8 years,"organization,road,reach,doctor,get,generation,employee",Bachelor,Senior,8,7,3,Senior
9 years,"focus,trip,learn,newspaper",Bachelor,Senior,9,4,3,Senior
4 years,"than,feeling,never,tell,financial",Bachelor,Senior,4,5,3,Senior
7 years,"police,early,play,skin",Master,Senior,7,4,4,Senior
9 years,"toward,two,report,bag,really,moment",Master,Senior,9,6,4,Senior
1 years,"industry,figure,responsibility,main",Master,Junior,1,4,4,Junior
9 years,"itself,first,close,various,room,more",Bachelor,Senior,9,6,3,Senior
2 years,"information,compare,do,simple,treatment,care,soon",PhD,Junior,2,7,5,Junior
9 years,"letter,forward,offer",PhD,Senior,9,3,5,Senior
9 years,"dinner,job,position,player,stage,century,ask",Master,Senior,9,7,4,Senior
7 years,"front,not,season",PhD,Senior,7,3,5,Senior
3 years,"talk,hand,myself,blood,imagine,bed",Bachelor,Senior,3,6,3,Senior
7 years,"side,ask,across",PhD,Senior,7,3,5,Senior
9 years,"when,bag,management",PhD,Senior,9,3,5,Senior
3 years,"response,us,customer,he",Bachelor,Senior,3,4,3,Senior
7 years,"hot,ball,television,carry,offer,realize,at",PhD,Senior,7,7,5,Senior
7 years,"process,party,six,agency,church",PhD,Senior,7,5,5,Senior
4 years,"million,move,effect,position,I,identify",PhD,Senior,4,6,5,Senior
1 years,"center,could,issue,answer,ever",PhD,Junior,1,5,5,Junior
6 years,"author,capital,administration,from,pressure,majority",Bachelor,Senior,6,6,3,Senior
7 years,"material,consumer,throw,site,daughter,staff",PhD,Senior,7,6,5,Senior
8 years,"likely,threat,history,mouth,study",PhD,Senior,8,5,5,Senior
8 years,"case,my,program,type,beyond,six,within",Bachelor,Senior,8,7,3,Senior
2 years,"employee,another,impact,quickly,particularly,down",Bachelor,Junior,2,6,3,Junior
5 years,"financial,chair,front,else",Bachelor,Senior,5,4,3,Senior
4 years,"many,nice,realize",Bachelor,Senior,4,3,3,Senior
4 years,"make,party,within,throw",Bachelor,Senior,4,4,3,Senior
4 years,"understand,at,again,kind",Bachelor,Senior,4,4,3,Senior
2 years,"raise,citizen,buy",Master,Junior,2,3,4,Junior
8 years,"hour,factor,talk,billion,social",Master,Senior,8,5,4,Senior
3 years,"however,act,despite,if,sound,glass",Bachelor,Senior,3,6,3,Senior
7 years,"set,nice,member,cover",Bachelor,Senior,7,4,3,Senior
2 years,"only,nearly,clearly",Master,Junior,2,3,4,Junior
